Stock,Price,Weights
COST,269.19,18.533784149687715
NOC,170.29,14.268744868342035
UNH,370.32,12.02864234898609
GS,143.25,11.368190473852966
HD,168.26,11.000313866826067
NFLX,420.39,10.37309059190504
TSLA,186.83,8.175127691628026
LMT,423.39,6.810902698755719
LLY,208.29,4.27773072531306
JNJ,121.51,3.1634725847032636
COST,141.56,19.653987194189323
NFLX,243.67,15.915281952442529
UNH,238.59,15.35142589800757
NOC,306.78,9.027808901533474
LMT,332.38,8.457179269928023
TSLA,131.87,8.207058052805179
GS,221.87,7.852224351130668
LLY,135.76,6.622536501275652
HD,258.69,6.077917265485726
MSFT,295.54,2.8345806132018585
COST,185.82,19.105878711797992
LMT,115.46,14.87631371189649
NOC,135.95,14.133702850879313
UNH,390.96,11.375920338893968
NFLX,389.24,10.475255474173606
MSFT,92.79,9.807395221384194
LLY,107.3,7.310174495802135
TSLA,220.96,5.7376650151391875
HD,347.3,3.8029967256271062
GS,370.74,3.374697454406009
NFLX,160.63,17.300944470363227
COST,304.59,14.712274298078814
NOC,143.84,14.232271042643163
UNH,263.29,14.189626975589334
META,130.41,7.634379105387788
LMT,373.14,7.154830374811585
TSLA,199.21,6.775239066030627
LLY,130.21,6.628333594489306
GS,307.57,6.553200796901778
HD,349.99,4.81890027570437
NFLX,146.03,17.801047723451514
UNH,213.53,16.430308885985365
NOC,176.18,13.674230560210042
COST,351.1,13.607781664995949
GS,127.21,11.239379429514468
TSLA,86.5,8.975390030955046
LMT,317.14,8.104714839288093
META,171.57,5.313034829360489
DIS,99.35,2.4420685770537096
HD,390.01,2.412043459185342
NFLX,99.98,19.95203868163709
NOC,78.94,16.87198220575672
COST,341.74,15.145344192015989
LMT,186.51,13.119452761897442
UNH,423.34,10.926216882990019
HD,237.09,7.634171820838414
META,195.79,4.594282534898757
BA,146.83,4.35153084884515
GS,340.48,4.102455561262088
TGT,179.6,3.302524509858336
COST,100.75,21.162096073344728
NFLX,129.64,19.573953995474767
NOC,216.3,12.007968984950558
UNH,402.44,10.994160431748558
LMT,307.75,10.006433778012648
GS,265.97,7.827300201947009
BA,160.84,5.2268427335862615
META,209.28,4.919927418411968
TGT,155.04,4.142951207237131
MSFT,250.97,4.138365175286385
NFLX,257.46,17.14189476393445
COST,336.97,15.451912930062095
GS,124.59,13.30474358647142
HD,120.21,13.113264602010856
UNH,372.52,12.201874494750953
LMT,373.12,7.583693402248727
NOC,426.73,6.294244056971313
TSLA,217.8,5.856228729758834
LLY,198.32,5.574264486222428
META,285.98,3.4778789475689242
UNH,129.99,19.867145158653855
COST,164.17,19.481671047308993
NFLX,200.45,17.292183187619248
NOC,256.06,10.64774017685702
HD,213.28,8.740391441268292
GD,121.59,5.166588077510819
LMT,436.57,5.083485470948798
META,202.46,4.736807677676111
MSFT,276.78,4.583195724570419
BA,168.68,4.400792037586457
UNH,97.78,21.2231838578191
COST,210.03,18.191549632350355
NOC,257.18,11.134301553729216
HD,142.1,10.397106547541485
LMT,297.26,10.089486598522882
NFLX,441.34,8.996707225692418
TSLA,208.19,7.27034589776267
TGT,135.97,5.155367288444773
GD,159.46,4.271034531495115
BA,181.6,3.270916866641975
UNH,169.9,19.139484416297304
NFLX,165.3,18.580347968397195
LMT,104.02,16.44608894760751
COST,439.61,11.550291250936484
NOC,347.45,8.486873792479283
MSFT,177.48,7.609892569138292
META,195.64,6.172222129550179
GS,306.25,5.485689866651574
TGT,150.67,3.7790251086846873
PEP,103.02,2.750083950257479
NFLX,216.31,18.06426939642141
LMT,142.15,17.72748585351401
COST,360.31,15.065241906293886
UNH,358.37,14.497621425057686
HD,207.39,8.918047433115708
NOC,396.49,8.404302489783465
META,215.49,4.929869382157099
GS,380.94,4.478643722096831
BA,206.58,4.284800660772766
AAPL,103.59,3.6297177307871387
COST,181.74,18.567333913584477
LMT,170.87,14.351936550013194
NOC,223.49,12.211075282531356
NFLX,385.09,12.070802948777573
HD,134.68,11.63082485937598
UNH,413.46,10.420010016337013
LLY,147.15,7.939606884127565
MSFT,227.71,6.006070700889498
GS,382.35,4.0258370267874035
DIS,128.76,2.7765018175759173
NFLX,104.72,22.070750543727236
UNH,387.35,12.786989404415166
COST,408.1,12.391402792260891
TSLA,80.2,11.600929357350235
LLY,88.9,9.913646743800028
LMT,348.7,9.160233136636494
HD,230.75,8.55820278001399
NOC,387.41,6.797828194891004
BA,191.78,3.4919173007014255
GD,192.07,3.2280997462035246
UNH,231.5,17.102612277754684
COST,295.3,16.47649939212173
LMT,164.72,14.566086106407594
NOC,272.97,10.932895002856862
HD,183.85,9.995750567907534
NFLX,398.68,9.407684419329687
GS,207.04,8.380687184613446
LLY,198.24,5.845300253354378
MSFT,238.1,4.359049635977973
DIS,110.53,2.9334351596761032
NFLX,148.56,18.278174965618476
UNH,171.85,17.951073726108994
COST,318.33,14.803506259078173
MSFT,131.3,8.762935481110139
LLY,105.21,8.137018136158304
GS,226.37,7.50534784146638
NOC,379.39,7.274710876610466
BA,131.83,6.408951230417653
LMT,406.24,6.072739532740903
HD,300.5,4.8055419506905155
NOC,71.48,16.2922579777634
NFLX,212.29,15.467516435380363
COST,275.17,15.19083458981983
UNH,346.22,11.312886918063304
GS,155.11,9.72084928546502
TSLA,102.89,8.785312112722384
LMT,332.72,7.936417824719767
LLY,151.02,6.414249285075671
META,203.44,5.183486133299531
HD,361.71,3.696189437690727
COST,223.17,16.09490817207372
LMT,139.52,14.745766882272786
UNH,281.63,14.246313559591506
GS,103.77,11.708423136691584
NFLX,385.8,10.08362244308176
NOC,354.01,7.191909033531517
BA,113.93,6.784199212798427
TSLA,174.21,6.756463839482839
MSFT,207.64,6.648307954180122
HD,286.1,5.740085766295715
UNH,260.38,16.251071208844536
NOC,188.3,14.80218828360026
COST,390.75,14.450214998235175
NFLX,412.49,11.973238944814964
GS,216.3,9.294872149411123
LLY,103.22,8.752752710307542
LMT,399.38,7.677072750246446
TGT,136.92,6.081712668051779
MSFT,215.97,6.063156172853958
TSLA,271.93,4.653720113634198
COST,124.1,21.980749165980725
LMT,185.94,14.402892477421199
NOC,222.58,13.349339510569646
NFLX,330.03,12.99055143826775
UNH,419.52,10.32979151068156
LLY,172.43,6.715597580116625
GD,82.33,6.6864075255745075
HD,329.07,4.793945674196372
TSLA,259.03,4.73413570231321
DIS,90.69,4.016589414878401
UNH,204.54,19.753889416358007
NFLX,221.52,18.28313984208445
COST,390.49,14.477455157860154
LMT,276.21,12.476337776098
HD,178.79,10.418280956830586
LLY,102.0,9.593032725396649
NOC,411.75,8.252113415822684
META,260.13,4.527469390334107
GS,450.92,1.890340755019285
QCOM,151.55,0.32794056419608114
UNH,226.99,17.001125927346116
NFLX,280.42,16.21612872946193
NOC,155.33,15.184021674607633
LMT,178.7,13.763543585798917
GS,115.44,13.120978479310361
COST,411.61,12.022863064086083
MSFT,293.86,4.6962797906258285
TGT,149.29,3.5402246585944783
HD,351.07,3.245100512826369
DIS,162.28,1.2097335773422737
