Date,Stock,Price,p/e,Sector Lowest,52 Week High,200d-EMA,Alpha,Beta,Worth,Weight
4/14/2023,AAPL,189.17,-5.64,80.57,209.62,193.44,0.0353,0.83,-6.65,0.0371
4/14/2023,MSFT,429.4,0.43,90.66,347.73,430.35,0.0461,0.96,-14.7,0.0278
4/14/2023,GOOGL,354.28,-5.28,118.28,409.31,344.04,0.0653,1.1,22.31,0.0378
4/14/2023,NVDA,165.28,1.47,107.81,182.44,168.34,0.09,0.96,25.58,0.0327
4/14/2023,META,353.52,1.59,131.26,329.75,363.31,0.0165,1.12,-18.07,0.0243
4/14/2023,JPM,109.05,-5.35,131.53,146.58,119.34,0.0979,1.08,-3.52,0.0296
4/14/2023,BAC,333.47,-1.8,108.6,470.87,336.12,0.0685,1.15,24.71,0.0313
4/14/2023,WFC,362.02,-1.48,137.69,115.74,364.06,0.0586,1.05,23.5,0.0399
4/14/2023,C,297.23,4.63,102.02,238.06,313.89,0.0404,0.88,-7.36,0.0157
4/14/2023,GS,143.25,-0.26,144.34,304.54,147.13,0.0282,0.87,-19.4,0.0381
4/14/2023,PG,354.11,-6.33,82.72,124.71,360.98,0.0421,1.02,-0.99,0.0368
4/14/2023,KO,343.34,-6.55,81.41,429.19,354.7,0.0221,1.16,2.13,0.017
4/14/2023,PEP,210.3,-2.25,118.9,127.72,206.88,0.0719,0.91,-9.6,0.0252
4/14/2023,MO,89.28,3.32,137.21,474.36,90.23,0.0663,0.94,-6.82,0.0233
4/14/2023,MNST,411.03,1.44,84.52,262.01,412.35,0.0888,0.91,7.21,0.0212
4/14/2023,JNJ,121.51,3.59,85.94,460.76,122.6,0.0685,1.19,-0.75,0.0325
4/14/2023,PFE,264.88,0.23,135.36,143.28,279.37,0.0863,0.93,14.98,0.0138
4/14/2023,MRNA,147.23,-1.73,93.13,360.57,134.87,-0.0085,1.13,3.01,0.034
4/14/2023,LLY,208.29,-4.88,135.27,405.32,202.02,0.05,0.92,-2.2,0.0159
4/14/2023,UNH,370.32,-7.08,133.64,149.52,377.19,0.0711,1.11,-10.42,0.0171
4/14/2023,XOM,86.95,2.83,85.53,214.09,93.47,0.055,0.93,0.06,0.0303
4/14/2023,CVX,103.02,-2.73,116.22,464.78,109.6,0.0748,1.09,-30.31,0.0131
4/14/2023,COP,335.31,-10.87,85.31,359.54,328.07,0.0458,0.83,31.99,0.0225
4/14/2023,PSX,117.86,5.44,118,432.78,104.99,0.0614,1.08,-8.94,0.0186
4/14/2023,SLB,136.58,-4.46,113.87,300.65,144.41,0.0279,0.95,-20.65,0.0291
4/14/2023,TSLA,186.83,-2.43,87.32,363.89,181.51,0.0628,0.86,3.2,0.0397
4/14/2023,F,165.35,-5.53,143.86,455.12,179.09,0.0591,1.12,5.33,0.0163
4/14/2023,GM,162.37,-2.4,129.4,321.04,152.04,0.0453,1.09,-34.95,0.0215
4/14/2023,RIVN,361.93,1.06,111.59,238.76,364.67,0.0473,0.9,-10.9,0.0305
4/14/2023,LCID,171.63,-9.83,94.24,492.47,177.87,0.0319,1.12,-39.23,0.0112
4/14/2023,AMZN,430.9,-7.2,112.7,425.17,438.65,0.0731,0.89,-7.7,0.0195
4/14/2023,WMT,288.5,-7.33,100.24,262.95,278.22,0.031,1.1,-1.99,0.0314
4/14/2023,COST,269.19,5.82,89.84,327.02,265.14,0.0286,0.88,6.07,0.0346
4/14/2023,TGT,226.49,3.42,98.35,281.74,233.21,0.0069,1.09,-0.86,0.0342
4/14/2023,HD,168.26,-0.36,108.43,168.55,182.96,0.033,1,-15.69,0.0219
4/14/2023,BA,278.42,-1.23,88.81,159.36,277.8,0.045,1.07,6.55,0.0227
4/14/2023,LMT,423.39,-0.11,98.75,187.45,429.58,0.0563,0.99,-23.22,0.0173
4/14/2023,NOC,170.29,-3.29,138.38,264.74,175.25,0.0388,1.08,12.79,0.0311
4/14/2023,GD,299.49,4.88,100.53,443.02,302.45,0.0335,0.95,28.71,0.0349
4/14/2023,RTX,114.05,-4.77,87.1,259.62,121.15,0.0407,0.93,-27.44,0.0287
4/14/2023,VZ,186.54,5.58,89.16,234.26,175.25,0.0513,0.91,1.73,0.0114
4/14/2023,T,206.68,-3.95,130.68,124.1,182.05,0.0596,0.87,-7.24,0.0156
4/14/2023,DIS,247.06,-13.32,109.54,310.49,246.42,0.0576,0.81,3.25,0.0114
4/14/2023,NFLX,420.39,-2.83,115.04,456.15,424.48,0.0481,1.13,-0.95,0.0151
4/14/2023,CMCSA,401.89,2.55,144.07,418.84,402.44,0.0636,0.99,-9.34,0.0317
4/14/2023,AMD,239.65,-9.99,81.31,237.01,252.25,0.0575,0.85,6.11,0.0372
4/14/2023,TSM,300.52,-8.23,149.77,432.88,306,0.0681,1.08,-6.66,0.0201
4/14/2023,INTC,89.68,-9.77,93.98,449.54,101.91,0.0316,1.01,-11.13,0.0215
4/14/2023,AVGO,427.11,-0.44,115.37,415.68,432.7,0.0402,1.05,27.14,0.0372
4/14/2023,QCOM,283.41,-5.58,131.86,418.45,270.15,0.0408,1.19,-7.03,0.0201
4/21/2023,AAPL,413.57,-4.07,80.71,306.67,401.66,0.0482,1.14,-38.12,0.0308
4/21/2023,MSFT,295.54,4.72,140.96,404.43,313.24,0.0697,1.03,-42.79,0.0138
4/21/2023,GOOGL,359.06,5.55,139.33,435.09,367.52,0.0431,0.82,-8.91,0.0201
4/21/2023,NVDA,448.22,4.42,102.67,199.88,441.36,0.0412,1,-2.23,0.0108
4/21/2023,META,329.02,4.24,120.47,232.28,330.96,0.0439,0.99,-20.38,0.0201
4/21/2023,JPM,199.46,-3.18,81.14,439.94,225.19,0.0472,1,-6.31,0.0262
4/21/2023,BAC,121.39,-2.72,93.81,389.78,113.36,0.0705,1.01,-4,0.0224
4/21/2023,WFC,120.69,-0.62,116.58,283.2,112.32,0.0171,1.01,23.48,0.0253
4/21/2023,C,227.53,2.94,117.13,177.59,234.58,0.0646,0.86,8.16,0.0318
4/21/2023,GS,221.87,7.57,149.69,210.89,234.49,0.0632,1.04,25.6,0.0331
4/21/2023,PG,106.34,-7.45,129.96,186.57,111.74,0.0474,1.11,-17.12,0.0198
4/21/2023,KO,206.41,4.27,85.11,267.13,210.29,0.0175,1,15.46,0.0112
4/21/2023,PEP,344.5,-0.4,95.36,169.14,357.74,0.0419,0.94,-15.61,0.0202
4/21/2023,MO,205.08,2.98,122.05,445.61,223.51,0.0149,0.93,-8.91,0.0125
4/21/2023,MNST,288.96,-1.14,84.45,326.52,273.69,0.0266,1.03,-22.69,0.0271
4/21/2023,JNJ,368.27,5.58,147.01,471.52,360.2,0.065,1.08,-25.02,0.0282
4/21/2023,PFE,378.11,-7.5,137.21,183.93,383.5,0.0545,0.9,-1.68,0.0186
4/21/2023,MRNA,407.63,6.53,86.98,430.88,398.77,0.0426,1.04,-21.16,0.0345
4/21/2023,LLY,135.76,-1.38,125.17,286.3,126.75,0.0504,0.84,6.83,0.0227
4/21/2023,UNH,238.59,-7.82,114.63,221.24,246.37,0.0155,1.03,-11.84,0.03
4/21/2023,XOM,201.87,5.85,85.84,428.67,210.96,0.0416,0.98,-14.06,0.0104
4/21/2023,CVX,359.02,-5.88,139.4,314.64,366.53,0.0729,1.13,-22.61,0.0295
4/21/2023,COP,405.55,5.76,140.9,159.91,418.29,0.0415,0.99,2.71,0.0336
4/21/2023,PSX,384.09,-5.86,129.73,330.62,390.41,0.0419,0.85,35.02,0.0123
4/21/2023,SLB,296.63,-7.01,124.43,394.38,297.54,0.0688,1.14,-26.6,0.031
4/21/2023,TSLA,131.87,5.1,127.57,371.71,125.12,0.0662,0.99,-24.13,0.0157
4/21/2023,F,392.9,-2.85,127.06,179.84,407.94,0.0662,0.8,-11.49,0.0224
4/21/2023,GM,157.42,-0.73,87.36,378.21,149.53,0.0598,0.98,-7.65,0.0304
4/21/2023,RIVN,408.3,-13.39,114.87,191.82,416.02,0.0701,1.04,-14.93,0.0327
4/21/2023,LCID,200.65,6.34,98.61,108.85,193.27,0.0716,1.06,6.44,0.0276
4/21/2023,AMZN,271.1,11.02,124.54,154.14,286.17,0.0523,0.99,22.79,0.0156
4/21/2023,WMT,135.82,-0.33,119.71,312.51,146.7,0.0586,1.02,8.78,0.0304
4/21/2023,COST,141.56,-0.85,127.14,289.94,148.16,0.0784,1.1,11.47,0.0252
4/21/2023,TGT,336.13,-3.89,127.7,367.53,338.72,0.0592,0.8,-11.72,0.036
4/21/2023,HD,258.69,-3.44,144.19,131.33,264.17,0.0331,0.81,3.51,0.025
4/21/2023,BA,281.91,0.92,99.22,110.65,280.31,0.0132,0.98,15.26,0.0266
4/21/2023,LMT,332.38,-4.86,112.31,274.05,323.02,0.0886,1.18,7.19,0.0122
4/21/2023,NOC,306.78,6.98,128.7,187.29,301.56,0.0426,1,-21.86,0.0386
4/21/2023,GD,347.81,-5.68,89.31,279.85,334.3,0.059,1.16,11.51,0.0353
4/21/2023,RTX,217.35,8.19,141.28,458.35,227.46,0.0372,1.2,-6.35,0.0268
4/21/2023,VZ,290.63,5.48,134.09,463.12,272.63,0.0606,0.89,11.8,0.0214
4/21/2023,T,384.62,6.88,148.08,460.81,359.85,0.051,1.1,-16.11,0.0202
4/21/2023,DIS,306.73,5.05,104.94,302.16,289.75,0.0586,1.07,-7.68,0.0371
4/21/2023,NFLX,243.67,-2.2,90.22,184.5,240.03,0.02,1.15,1.18,0.0359
4/21/2023,CMCSA,162.49,9.6,97.47,248.31,163.86,0.0228,0.89,-29.89,0.0143
4/21/2023,AMD,201.17,1.59,106.91,122.13,205.26,0.0585,1.01,3.41,0.0257
4/21/2023,TSM,403.97,-7.49,120.45,233.57,400.21,0.0369,1.12,3.44,0.025
4/21/2023,INTC,111.08,4.17,122.99,462.46,114.9,0.026,0.98,6.77,0.0225
4/21/2023,AVGO,153.5,-3.92,119.68,158.15,151.8,0.0403,0.99,4.77,0.0209
4/21/2023,QCOM,277.88,7.96,121.88,348.06,299.8,0.0493,0.82,24.98,0.0207
4/28/2023,AAPL,191.3,0.06,108.8,381.46,200.95,0.063,1.03,-27.3,0.0261
4/28/2023,MSFT,307.22,-10.01,130.66,203.2,314.58,0.0405,0.95,12.75,0.0309
4/28/2023,GOOGL,406.37,0.7,124.04,211.77,400.93,0.0697,0.91,-21.64,0.0204
4/28/2023,NVDA,445.26,0.71,124.98,288.36,447.65,0.0744,0.81,11.9,0.0278
