Stock,Price,Weights
AAPL,188.38,-11557.715623758171
MSFT,359.84,-10937.538329874395
GOOGL,145.6,-11733.51856552764
NVDA,94.31,-18714.374824203416
META,504.73,-11823.848754966872
JPM,210.28,-7662.56313377202
BAC,34.39,-7419.718423562379
WFC,60.98,-8689.299680769556
C,58.13,-7476.094327496639
GS,470.81,-7996.325461838654
PG,163.75,-4203.148307353883
KO,69.93,-4441.819645138253
PEP,146.61,-4162.067190547166
MO,56.07,-4693.75373502655
MNST,57.08,-4557.749499968661
JNJ,153.24,-12526.174725722114
PFE,22.97,-13360.92351638525
MRNA,25.11,-13417.152637603003
LLY,738.21,-14474.634611200752
UNH,525.05,-11419.995360236462
XOM,104.34,-4198.258935090023
CVX,143.28,-4245.722772195733
COP,86.29,-4013.9685261474156
PSX,98.81,-3949.2013614792595
SLB,34.78,-4520.310009675914
TSLA,239.43,-12000.616267343485
F,9.58,-2437.577481754044
GM,44.18,-2628.922082367564
RIVN,11.21,-2716.450315183664
LCID,2.28,-2755.6091358726794
AMZN,171.0,-9033.6246237414
WMT,83.19,-14754.639204767547
COST,916.48,-13265.474567308625
TGT,95.72,-13979.119727350262
HD,353.9,-12704.428399578508
BA,136.59,-13152.608316849524
LMT,432.15,-12155.712888069886
NOC,485.52,-12203.630826799272
GD,250.01,-12873.293145767624
RTX,117.45,-13322.23382474253
VZ,43.03,-9346.603178577083
T,26.64,-8899.006731850426
DIS,83.53,-10407.15364439151
NFLX,855.86,-10170.683782224307
CMCSA,33.38,-9679.595597912436
AMD,85.76,-5349.030392527329
TSM,146.8,-4001.8310049370184
INTC,19.85,-4837.270375476003
AVGO,146.29,-5069.253563029415
QCOM,127.46,-5041.534081413496
