Sector,Stock,Price,P/E,Sector Lowest,52 Week High,200d-EMA,Alpha,Beta,Worth,Weight
Retail & E-commerce,COST,224.99779057292128,47.06072191,197.3973157566851,820.6689502295706,453.7051773265856,0.2470526229009808,2.155172595,-17.51891762,0.008833883
Pharma & Healthcare,TSM,940.0341554249302,28.66605806362553,265.90450492809254,1028.9084002162317,712.8940547850478,1.3592312018670027,0.3046970219823513,20.50440181327884,-0.010286767
Aerospace & Defense,RTX,754.2246075120992,47.93443894696471,153.7718103712885,478.5113719,826.2479177109843,1.2042041166479975,0.3690160051590592,14.862148087539332,-0.007598831
Energy,DIS,241.91519952687517,1.087536227767977,152.02050113868967,862.9302181,473.2247139509109,0.8831000154276718,2.2655276761700427,-42.81045911,0.019305594629830516
Retail & E-commerce,KO,265.23305810847387,6.159891236130932,208.6367714001265,1153.9395905347242,377.5316187196428,0.8941323110409294,1.970250042795024,22.397351190749117,-0.009510995
Semiconductors,NFLX,752.3663012474126,-27.78577769,211.97029474929496,908.4908515621056,935.5407567274024,0.003130933,1.2679641958327728,-44.62224852,0.020409220751615515
Consumer Goods,BA,236.33155291234428,-20.45690604,174.4338984960993,653.4941611,703.9707776,0.7843400805657859,1.9232577574432792,2.667131945340259,-0.000764789
Retail & E-commerce,INTC,306.7304170714549,34.73007055467465,168.4235197781087,802.9099936541201,208.1741239512956,-0.101558894,2.360321934083913,-24.63839691,0.012474981490112395
Aerospace & Defense,NVDA,961.1608245540948,-10.26368657,180.1318116130406,918.5047002596108,163.67475071238323,-0.206263386,1.963235519166068,6.988286645411321,-0.001547824
Energy,META,325.3590938202012,33.63552770431584,264.21650054907207,783.3463577862562,531.9948928049009,1.4462452446735532,2.115281072926145,-24.51622078,0.010562346113918293
Pharma & Healthcare,LMT,690.2290881312601,22.647299812577096,172.57336065466856,151.51122415056045,297.9562943903008,0.7178133824907376,1.9383936667516624,45.33753677480538,-0.019403647
Aerospace & Defense,WFC,974.8858661,-26.96176548,282.2955113096841,340.44403665104767,328.0658806556622,0.348107385,0.6568230833523825,-19.84406922,0.008757097
Aerospace & Defense,T,432.2092281995028,3.845563190068596,182.3906065610976,993.5964654790693,882.1224013341746,0.072214264,2.096249422744248,-26.38583871,0.012877274668550676
Consumer Goods,AVGO,111.82939606641656,19.697262164746636,284.4197351088992,423.0590856592892,182.0081855891396,0.6821627543089139,0.715012818,-22.8619538,0.009753081
Automobile,GM,315.3383924499978,-21.56413193,257.7506240285851,909.8898691779714,737.9219021001002,-0.388635464,2.2239687653719136,36.79584941036988,-0.01425436
Energy,AMZN,842.2065414,33.99684224,149.94538553699024,528.5801951097984,343.3073614654509,-0.301539578,1.2851496599965544,11.672882528192517,-0.003944969
Banking & Financials,C,872.4966784896296,7.332403531584276,264.8114733051105,687.4556751163027,777.8647586483273,-0.420966108,1.757471409846588,20.791849220913456,-0.007504101
Aerospace & Defense,RIVN,786.2108391905549,-28.07446331,92.10830418784684,205.92955311495325,744.1821858695462,0.4798150785699422,1.368636160097493,38.874932457908194,-0.016682075
Automobile,MO,197.67016068340772,10.89157859083587,278.88429177450337,326.0718690170909,109.01064419332673,0.67576143,0.4962574149926251,38.28241366,-0.017211174
Banking & Financials,RTX,810.4480596968888,49.76313040902074,211.6427684,1149.2519128745398,554.7232538209162,-0.363742975,0.9218601615328348,21.589376358566675,-0.008466727
Energy,VZ,921.0491954,-29.44756296,79.34941049,1078.1132647765726,226.20555560674083,0.908759969,2.4210961705970164,-30.64641623,0.014042816146411155
Technology,CVX,635.4321982001286,32.697336670459855,214.5334322179637,825.7791879594799,871.9375937003713,-0.039379493,2.3713016637050486,31.670019442266188,-0.012291513
Semiconductors,PG,940.9820247367288,-24.15055533,290.1599355238001,621.4293961275581,876.6980100911231,0.8391739966707505,0.9862519803882348,-30.071893,0.012922755
Automobile,COP,838.5802464285076,29.49151315,82.88101456214014,850.6942251169394,474.0723414789586,1.412303664255271,2.448278806049488,21.97096611770284,-0.009577686
Telecom & Media,AAPL,695.0235205085189,25.031869109013307,194.0062276870525,790.0662616817966,497.2131075407011,0.8505796095555103,2.122160290041255,16.440065496965225,-0.006749466
Technology,AMD,614.3977824746428,-15.45890493,238.26192866923577,736.9627915384106,371.8588199601938,1.2216361107508804,1.6146516705617775,23.514523956576063,-0.010594422
Semiconductors,LMT,409.1105554,-13.09583305,252.57732762392965,196.5981791861687,739.0253682,1.347207717833173,0.3797246618960438,1.6785709650371032,-0.001964301
Consumer Goods,XOM,239.1364646524461,30.436701766731368,161.7242260959302,805.1220174135788,421.0530021368973,0.4558256024940951,2.243083224,11.914923588192224,-0.004251462
Retail & E-commerce,TSLA,639.3333382667986,-0.445290019,113.67465943506208,949.5205801,340.3316604502886,0.8722516618269271,1.498846002272586,42.28345286037622,-0.018522337
Pharma & Healthcare,AMD,381.7563717865694,24.681154861128213,76.58817206402017,1188.3805992699668,486.40699408029695,1.1613208227949663,2.171755449704145,-39.98456628,0.017698833903907443
Telecom & Media,BA,874.1398195,-29.68424056,199.74447696550448,145.5734364243633,183.7151018067778,0.2044288943583058,2.0980991262247013,-19.92910554,0.009900553
Consumer Goods,COP,988.0911562772714,36.036757260119295,170.68130977786657,908.4167190833716,765.6724474428655,0.020507816,2.095020856983185,9.272909807,-0.00271222
Energy,AAPL,771.7610003514399,22.821821652614865,284.31516185741054,740.3967885350328,113.6339450369961,1.3441171113167645,1.803328596624605,43.3196373,-0.019294159
Consumer Goods,RTX,177.35069566960186,41.10966669299942,80.77355608662909,594.2799800214472,674.9580823922145,0.9185711817151953,0.9233590113998538,-40.51686052,0.017377041
Retail & E-commerce,MNST,355.33262886303294,-31.14047018,223.9614791078642,269.1521896914577,264.88782039258484,-0.06007377,1.0201592561989152,-47.56616672,0.021607116
Energy,XOM,194.07809680453764,11.827160696252008,72.60597048080515,567.7940056,308.8951428450394,0.383062661,0.960253282,-44.36125199,0.019675452749840377
Telecom & Media,TSM,680.2429872466469,12.39672214204765,106.17313317662874,509.7577101266969,667.0936622862708,1.054077210456351,0.3362871777144339,-44.68404811,0.018670405
Retail & E-commerce,C,783.2219330276993,-10.51785955,170.83438424025616,455.0743756549666,984.5033005319132,0.5723307125932784,1.553232321585794,37.89081738417966,-0.016230281
Banking & Financials,C,927.3323493109134,-0.723172389,171.13081227267628,909.1658511508844,793.3121250710251,0.7710825063151887,1.8047560091519077,19.88191577016585,-0.008381284
Pharma & Healthcare,GS,489.5678324890434,-39.945027,224.03142396976165,877.1772302312476,303.06379271556943,0.9716249875866052,2.140148274012488,15.619857938134736,-0.006510531
Telecom & Media,TSLA,905.5123182,26.084238729817365,275.4846402385897,758.6758515417926,258.8118623980084,0.717104942,0.5961499480878371,0.7023514628977807,-0.000702396
Banking & Financials,VZ,884.4238582136032,7.751670110793157,213.33607942502795,1129.5923014672787,871.9427812572827,0.5588402977486253,1.470189722410868,25.74092657339829,-0.010939329
Semiconductors,HD,380.93397417816345,-38.10190764,285.4130832250448,504.9597527444522,497.0250747670616,0.9636008283005132,0.3102448359206065,-34.71781221,0.014379786247037072
Telecom & Media,SLB,876.3505936061035,20.01147471194723,268.93076015620665,392.4552747970854,224.19200160103637,0.9210042366789328,0.4986430025838123,-11.90784383,0.004542546
Semiconductors,TSLA,433.4443776246482,0.052492444,200.83848758645257,829.6281231600286,868.3704189,0.7322943770542374,0.4102003221418557,-2.44157333,0.000537972
Energy,PG,362.68135919851215,-40.27339279,257.9706456895627,344.7304201735644,827.4015758,0.2105726951718113,1.862397623918684,-39.08479635,0.018143319
Banking & Financials,NOC,678.9526086042141,46.95490520120361,214.1486172,467.9960397730397,976.4753934980872,0.2994751087677831,0.4682820877207111,-9.24620013,0.004036504
Pharma & Healthcare,MSFT,390.9782714416938,45.043124587226565,84.88796251703843,372.08771581853966,910.5946404,1.3901690029121654,1.842873096879304,-19.19019724,0.008107764
Retail & E-commerce,BAC,662.0115130357992,4.354490908068996,236.60506079237197,207.18162629426195,859.1130818092741,-0.267338786,0.8329508428359089,-46.30806622,0.021159257623642774
Aerospace & Defense,MRNA,643.7135498116735,-34.75031272,88.63515485760745,1011.6630949895456,149.1475027763127,0.034237631,2.191738085549402,-36.54349144,0.017438480667525826
Consumer Goods,F,602.0539552,26.90146159879269,203.0346923386287,403.8471965622724,195.1992687638018,0.4667411303637446,2.052064493056824,24.01147056,-0.009696553
Technology,TGT,437.7074660207338,2.398335087879921,227.91361392040147,635.6264929249356,607.8876898529555,1.1318824163423995,2.365061349186373,-48.00165486,0.021375871
